id,name,title,artist_name,art_type,park,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1635089444,PA00078000,Untitled,Rolf Rohn,Modern and Contemporary Art,West End Park,,Elliott,2,20,42003562600,5,20,6,1-17,40.43680606,-80.03830289
126698438,PA00082000,Pipe Movement in Blue I,Josefa Filkosky,Modern and Contemporary Art,Paulson Park,,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46860921,-79.90090508
957789229,PA00084000,Fire Station 27 Mural,Cory Bonnet,Modern and Contemporary Art,,,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42950855,-80.00720547
2132016421,PA00085000,Untitled,H. Douglas Pickering,Modern and Contemporary Art,Magee Park,,Greenfield,5,15,42003151700,3,15,4,2-12,40.42410694,-79.93699976
1022462837,PA00089000,Untitled,Eliza Miller,Modern and Contemporary Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-9,40.4822086,-79.91170068
1432017341,PA00090000,Aquarius,Anthony R. Vitale,Modern and Contemporary Art,Brighton Heights Park,,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48700749,-80.03100156
69170292,PA00091000,Stonehenge,James Myford,Modern and Contemporary Art,,,Perry South,6,26,42003261400,1,26,1,1-12,40.46960865,-80.01340054
1618540883,PA00092000,Piazza Lavoro,Ned Smyth,Modern and Contemporary Art,Allegheny Landing Park,,North Shore,1,22,42003563200,6,22,1,1-20,40.44733782,-80.00280771
1742589539,PA00093000,Mythic Source,Ned Smyth,Modern and Contemporary Art,Allegheny Landing Park,,North Shore,1,22,42003563200,6,22,1,1-20,40.4469676,-80.00268066
1106097306,PA00094000,The Builders,George Danhires,Modern and Contemporary Art,Allegheny Landing Park,,North Shore,1,22,42003563200,6,22,1,1-20,40.44717711,-80.00362652
360491421,PA00095000,Pittsburgh Variations,George Sugarman,Modern and Contemporary Art,Allegheny Landing Park,,North Shore,1,22,42003563200,6,22,1,1-20,40.44729447,-80.00219455
144499517,PA00097000,Man's Ascent to Woman,David Breeden,Modern and Contemporary Art,Liberty Avenue Island,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44140659,-80.00470303
1602589575,PA00099000,Mountaintop,Thaddeus Mosley,Modern and Contemporary Art,,,Upper Hill,6,5,42003050600,3,5,2,2-5,40.45210682,-79.96420619
489150556,PA00100000,Richard S. Caliguiri,Robert Berks,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43833549,-79.9968509
1196697699,PA00103000,The Gateway,Michael Walsh & Jeremy W. Groznik,Modern and Contemporary Art,,,Garfield,9,10,42003101700,2,10,5,3-23,40.46480976,-79.94100519
708530485,PA00105000,Molten Memories: Steelworkers Monument,James O'Toole,Modern and Contemporary Art,,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42720829,-79.96190211
2082076711,PA00107001,Lawrenceville Life Links,JoAnna Commandaros,Modern and Contemporary Art,,,Central Lawrenceville,7,9,42003090100,2,9,2,3-3,40.46984798,-79.96109331
431608558,PA00107002,Lawrenceville Life Links,JoAnna Commandaros,Modern and Contemporary Art,,,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.47935798,-79.95491331
1003762825,PA00107003,Lawrenceville Life Links,JoAnna Commandaros,Modern and Contemporary Art,,,Stanton Heights,7,10,42003101800,2,10,5,3-5,40.48534798,-79.9456833
808687556,PA00109000,Untitled,Bob  Qualters,Modern and Contemporary Art,,,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40993797,-79.9439233
1329611030,PA00111000,Untitled,Bob  Qualters,Modern and Contemporary Art,,,Hazelwood,5,15,42003562900,3,15,4,2-13,40.41190753,-79.94190546
1757845594,PA00113000,Point of View,James A. West,Modern and Contemporary Art,Emerald View Park - Grandview Overlook,,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43920932,-80.02130459
17750008,PA00116000,Pittsburgh People,Jerry Caplan,Non-City Owned,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43820987,-80.00260494
1006480973,PA00118000,Unkillable Human,Frederick Franck,Modern and Contemporary Art,,,North Shore,1,23,42003563200,6,23,1,1-20,40.45140873,-79.99310634
627313735,PA00119000,Allegheny Riverfront Park,Ann Hamilton & Michael Mercil,Modern and Contemporary Art,,,Central Business District,6,2,42003020100,6,2,2,1-3,40.4448093,-80.00150631
564433291,PA00120000,Animal Adventure,Laura Jean McLaughlin,Modern and Contemporary Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-9,40.48130833,-79.91890283
1583063106,PA00126000,7:11 AM 11.20.1979 79.55'W 40.27'N,Janet Zweig,Modern and Contemporary Art,Mellon Park,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45201183,-79.91887296
20578961,PA00127000,Windows,Kim Beck,Modern and Contemporary Art,,,Allentown,3,18,42003180300,5,18,3,4-6,40.42169165,-79.99236723
226477933,PA00128000,Untitled,James Myford,Modern and Contemporary Art,Emerald View Park - Grandview Park,,Allentown,3,18,42003180300,5,18,3,4-5,40.42623741,-79.99723346
1294112607,PA00129000,Diamond Diamonds,Carin Mincemoyer,Modern and Contemporary Art,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.44114414,-80.00234526
1786320600,PA00132000,Shady Liberty (East Liberty Pedestrian Bridge),Sheila Klein,Modern and Contemporary Art,,,Shadyside,8,7,42003070500,2,7,4,3-11,40.45854396,-79.92740968
1084659641,PA00187000,Untitled,Edward Eberle,Modern and Contemporary Art,Ormsby Park,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42922797,-79.97409331
251831102,PA00189000,The Forks,Isaac Witkin,Modern and Contemporary Art,Allegheny Landing Park,,North Shore,1,22,42003563200,6,22,1,1-20,40.44720875,-80.00320004
287424629,PA00190000,William Addison Magee Memorial,Frank Vittor,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43782406,-79.99692176
220899007,PA00192000,Joy of Life,Virgil Cantini,Modern and Contemporary Art,,,East Liberty,9,8,42003111500,2,8,5,3-11,40.46072521,-79.92627578
389683208,PA00194000,Abraham Lincoln Portrait,John Buxton,Individual and Historic Monuments,,https://tools.wprdc.org/images/pittsburgh/art_monuments/PA00194000.jpg,Central Business District,6,1,42003020100,6,1,2,1-4,40.43799888,-79.99688865
914965299,PA00195000,Presidential Portrait: Abraham Lincoln,Victor David Brenner,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43820733,-79.9969455
1827846992,PA00196000,Presidential Portrait: George Washington,Victor David Brenner,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43808731,-79.99707815
1728686833,PA00198000,Presidential Portrait: Woodrow Wilson,Paul Manship,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43805573,-79.99663599
1472146363,PA00199000,Presidential Portrait: Theodore Roosevelt,Berthold Nebel,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43823258,-79.99721276
